student number: ,Age: 18,Gender: 1
Trial No,Trial Type,Top Word,Bottom Word,Response,RT,Correct,Arrow(1:L 2:R),Arrow Pos(1:T 2:B),
1,Practice,midst,adobe,2,566,1,2,1
2,Practice,keyboard,checkers,1,528,1,1,1
3,Practice,diagonal,logistics,2,716,0,1,1
4,Practice,subsequent,rectangular,1,736,1,1,2
5,Practice,adobe,midst,1,548,1,1,2
6,Practice,collar,washer,1,495,1,1,1
7,Practice,ten,marksman,2,444,1,2,2
8,Practice,matchbook,informal,2,428,1,2,2
9,Practice,flatten,linear,2,388,1,2,1
10,Practice,contrast,edition,2,406,1,2,2
11,Practice,rectangular,subsequent,2,445,1,2,1
12,Practice,limestone,numerical,1,444,1,1,2
13,Practice,edition,contrast,1,501,1,1,1
14,Practice,checkers,keyboard,2,450,1,2,2
15,Practice,geometric,indicate,1,489,1,1,2
16,Practice,localized,input,1,414,1,1,2
17,Practice,numerical,limestone,2,582,1,2,1
18,Practice,banner,aluminium,1,375,1,1,2
19,Practice,seat,scoop,1,474,1,1,1
20,Practice,infuser,multitude,2,624,1,2,1
21,Practice,scoop,seat,2,416,1,2,2
22,Practice,informal,matchbook,1,720,1,1,1
