student number: Connor,Age: 18,Gender: 1
Trial No,Trial Type,Top Word,Bottom Word,Response,RT,Correct,Arrow(1:L 2:R),Arrow Pos(1:T 2:B),
1,Practice,infuser,multitude,2,818,1,2,1
2,Practice,multitude,infuser,1,362,1,1,1
3,Practice,numerical,limestone,2,301,1,2,1
4,Practice,limestone,numerical,1,490,1,1,1
5,Practice,input,localized,1,527,1,1,1
6,Practice,localized,input,2,363,0,1,2
7,Practice,contrast,edition,2,502,1,2,2
8,Practice,edition,contrast,2,387,1,2,1
9,Practice,ten,marksman,2,532,1,2,2
10,Practice,marksman,ten,1,384,1,1,2
11,Practice,scoop,seat,1,433,1,1,2
12,Practice,seat,scoop,1,353,1,1,2
13,Practice,logistics,diagonal,2,372,1,2,2
14,Practice,diagonal,logistics,1,382,1,1,1
15,Practice,checkers,keyboard,2,392,1,2,2
16,Practice,keyboard,checkers,1,426,1,1,2
17,Practice,matchbook,informal,1,426,1,1,2
18,Practice,informal,matchbook,2,394,1,2,1
19,Practice,washer,collar,2,372,1,2,1
20,Practice,collar,washer,1,438,1,1,1
21,Practice,rectangular,subsequent,2,445,1,2,1
22,Practice,subsequent,rectangular,2,605,1,2,2
23,Practice,midst,adobe,2,517,1,2,1
24,Practice,adobe,midst,1,457,1,1,2
25,Practice,aluminium,banner,2,616,1,2,2
26,Practice,banner,aluminium,1,464,1,1,1
27,Practice,flatten,linear,1,503,1,1,1
28,Practice,linear,flatten,1,428,1,1,2
29,Practice,indicate,geometric,2,756,1,2,2
30,Practice,geometric,indicate,2,1038,1,2,1
1,Main,branch,corpse,1,324,0,2,1
