student number: ,Age: 18,Gender: 1
Trial No,Trial Type,Top Word,Bottom Word,Response,RT,Correct
1,Practice,flatten,linear,2,1052,1
2,Practice,ten,marksman,2,1082,1
3,Practice,logistics,diagonal,1,544,1
4,Practice,rectangular,subsequent,2,435,1
5,Practice,input,localized,1,434,1
6,Practice,checkers,keyboard,1,482,1
7,Practice,matchbook,informal,1,760,1
8,Practice,numerical,limestone,1,402,1
9,Practice,washer,collar,1,739,1
10,Practice,infuser,multitude,1,438,1
11,Practice,midst,adobe,2,454,1
12,Practice,contrast,edition,1,437,1
13,Practice,aluminium,banner,1,348,1
14,Practice,scoop,seat,2,352,1
15,Practice,indicate,geometric,2,483,1
